"item","factor1","factor2","R0","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","CompQuestion","CorrectAns"
"14a","mismatch","nocc","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ ___ ___ _____ _____ ____ _____ ___ ___ _______","Sally was telling me _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ about yesterday. ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ When ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ each businessman _____ __ ___ _______ _______ ____ _____ __ _____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ spoke at the _______ _______ ____ _____ __ _____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ council meeting last night __ _____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ it seems she ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ ___ was angry about ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ ___ ___ _____ _____ high taxes ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ ___ ___ _____ _____ ____ _____ and new bylaws.","Did Mary wash the dishes?","n"
"14b","mismatch","cc","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ ___ ___ _____ _____ ____ _____ ___ ___ _______","Sally was telling me _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ about yesterday. __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ It seems ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ each businessman _____ __ ___ _______ _______ ____ _____ ____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ spoke at the _______ _______ ____ _____ ____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ council meeting last night ____ ___ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ when she ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ ___ was angry about ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ ___ ___ _____ _____ high taxes ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ ___ ___ _____ _____ ____ _____ and new bylaws.","Did Mary wash the dishes?","y"
"14c","match","nocc","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ __ ___ _____ _____ ____ _____ ___ ___ _______","Sally was telling me _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ about yesterday. ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ When ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ each businessman _____ __ ___ _______ _______ ____ _____ __ _____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ spoke at the _______ _______ ____ _____ __ _____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ council meeting last night __ _____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ it seems he ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ __ was angry about ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ __ ___ _____ _____ high taxes ___ ___ _______","_____ ___ _______ __ _____ __________ ____ ____ ___________ _____ __ ___ _______ _______ ____ _____ __ _____ __ ___ _____ _____ ____ _____ and new bylaws.","Did Mary wash the dishes?","n"
"14d","match","cc","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ __ ___ _____ _____ ____ _____ ___ ___ _______","Sally was telling me _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ about yesterday. __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ It seems ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ each businessman _____ __ ___ _______ _______ ____ _____ ____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ spoke at the _______ _______ ____ _____ ____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ council meeting last night ____ __ ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ when he ___ _____ _____ ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ __ was angry about ____ _____ ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ __ ___ _____ _____ high taxes ___ ___ _______","_____ ___ _______ __ _____ __________ __ _____ ____ ___________ _____ __ ___ _______ _______ ____ _____ ____ __ ___ _____ _____ ____ _____ and new bylaws.","Did Mary wash the dishes?","y"
"15a","mismatch","nocc","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ __ ______ ____ ______ ______ ___ ______","I was listening __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ to Frederick tell a story. ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ When ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ each old woman ____ _______ ___ __ ___ _____ _ _____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ came quickly ___ __ ___ _____ _ _____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ out of the house _ _____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ I heard he ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ __ yelled mean ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ __ ______ ____ things loudly ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ __ ______ ____ ______ ______ for hours.","Did Mary wash the dishes?","y"
"15b","mismatch","cc","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ __ ______ ____ ______ ______ ___ ______","I was listening __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ to Frederick tell a story. _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ I heard ____ ___ _____ ____ _______ ___ __ ___ _____ ____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ each old woman ____ _______ ___ __ ___ _____ ____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ came quickly ___ __ ___ _____ ____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ out of the house ____ __ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ when he ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ __ yelled mean ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ __ ______ ____ things loudly ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ __ ______ ____ ______ ______ for hours.","Did Mary wash the dishes?","n"
"15c","match","nocc","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ ___ ______ ____ ______ ______ ___ ______","I was listening __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ to Frederick tell a story. ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ When ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ each old woman ____ _______ ___ __ ___ _____ _ _____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ came quickly ___ __ ___ _____ _ _____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ out of the house _ _____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ I heard she ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ ___ yelled mean ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ ___ ______ ____ things loudly ___ ______","_ ___ _________ __ _________ ____ _ ______ ____ ____ ___ _____ ____ _______ ___ __ ___ _____ _ _____ ___ ______ ____ ______ ______ for hours.","Did Mary wash the dishes?","y"
"15d","match","cc","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ ___ ______ ____ ______ ______ ___ ______","I was listening __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ to Frederick tell a story. _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ I heard ____ ___ _____ ____ _______ ___ __ ___ _____ ____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ each old woman ____ _______ ___ __ ___ _____ ____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ came quickly ___ __ ___ _____ ____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ out of the house ____ ___ ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ when she ______ ____ ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ ___ yelled mean ______ ______ ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ ___ ______ ____ things loudly ___ ______","_ ___ _________ __ _________ ____ _ ______ _ _____ ____ ___ _____ ____ _______ ___ __ ___ _____ ____ ___ ______ ____ ______ ______ for hours.","Did Mary wash the dishes?","n"
"16a","mismatch","nocc","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","Sally was talking to me __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ at the snack bar. _____ ____ ______ ______ _________ ___ ______ _________ __ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ After ____ ______ ______ _________ ___ ______ _________ __ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ each hockey player _________ ___ ______ _________ __ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ sharpened his skates _________ __ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ carefully __ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ it seems she ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ ___ skated on the _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ ___ ______ __ ___ fresh ice ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ ___ ______ __ ___ _____ ___ for several hours.","Did Mary wash the dishes?","n"
"16b","mismatch","cc","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","Sally was talking to me __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ at the snack bar. __ _____ ____ ______ ______ _________ ___ ______ _________ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ It seems ____ ______ ______ _________ ___ ______ _________ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ each hockey player _________ ___ ______ _________ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ sharpened his skates _________ _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ carefully _____ ___ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ after she ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ ___ skated on the _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ ___ ______ __ ___ fresh ice ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ ___ ______ __ ___ _____ ___ for several hours.","Did Mary wash the dishes?","y"
"16c","match","nocc","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ __ ______ __ ___ _____ ___ ___ _______ ______","Sally was talking to me __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ at the snack bar. _____ ____ ______ ______ _________ ___ ______ _________ __ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ After ____ ______ ______ _________ ___ ______ _________ __ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ each hockey player _________ ___ ______ _________ __ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ sharpened his skates _________ __ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ carefully __ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ it seems he ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ __ skated on the _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ __ ______ __ ___ fresh ice ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ _____ ____ ______ ______ _________ ___ ______ _________ __ _____ __ ______ __ ___ _____ ___ for several hours.","Did Mary wash the dishes?","n"
"16d","match","cc","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ __ ______ __ ___ _____ ___ ___ _______ ______","Sally was talking to me __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ at the snack bar. __ _____ ____ ______ ______ _________ ___ ______ _________ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ It seems ____ ______ ______ _________ ___ ______ _________ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ each hockey player _________ ___ ______ _________ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ sharpened his skates _________ _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ carefully _____ __ ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ after he ______ __ ___ _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ __ skated on the _____ ___ ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ __ ______ __ ___ fresh ice ___ _______ ______","_____ ___ _______ __ __ __ ___ _____ ____ __ _____ ____ ______ ______ _________ ___ ______ _________ _____ __ ______ __ ___ _____ ___ for several hours.","Did Mary wash the dishes?","y"
"17a","mismatch","nocc","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","Roger was talking _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ about the office. _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ After ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ each secretary _____ __ ___ _______ ____ ___ _______ _________ __ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ typed up the minutes ____ ___ _______ _________ __ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ from the meeting yesterday __ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ it seems he organized ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ __ _________ the shelves in the ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ __ _________ ___ _______ __ ___ photocopying room ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ __ _________ ___ _______ __ ___ ____________ ____ very neatly.","Did Mary wash the dishes?","y"
"17b","mismatch","cc","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","Roger was talking _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ about the office. __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ It seems ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ each secretary _____ __ ___ _______ ____ ___ _______ _________ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ typed up the minutes ____ ___ _______ _________ _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ from the meeting yesterday _____ __ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ after he organized ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ __ _________ the shelves in the ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ __ _________ ___ _______ __ ___ photocopying room ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ __ _________ ___ _______ __ ___ ____________ ____ very neatly.","Did Mary wash the dishes?","n"
"17c","match","nocc","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","Roger was talking _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ about the office. _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ After ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ each secretary _____ __ ___ _______ ____ ___ _______ _________ __ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ typed up the minutes ____ ___ _______ _________ __ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ from the meeting yesterday __ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ it seems she organized ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ ___ _________ the shelves in the ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ ___ _________ ___ _______ __ ___ photocopying room ____ _______","_____ ___ _______ _____ ___ _______ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ __ _____ ___ _________ ___ _______ __ ___ ____________ ____ very neatly.","Did Mary wash the dishes?","y"
"17d","match","cc","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","Roger was talking _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ about the office. __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ It seems ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ each secretary _____ __ ___ _______ ____ ___ _______ _________ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ typed up the minutes ____ ___ _______ _________ _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ from the meeting yesterday _____ ___ _________ ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ after she organized ___ _______ __ ___ ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ ___ _________ the shelves in the ____________ ____ ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ ___ _________ ___ _______ __ ___ photocopying room ____ _______","_____ ___ _______ _____ ___ _______ __ _____ ____ _________ _____ __ ___ _______ ____ ___ _______ _________ _____ ___ _________ ___ _______ __ ___ ____________ ____ very neatly.","Did Mary wash the dishes?","n"
